OBJECTID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,STATUS,COUNTY,COUNTRY,LATITUDE,LONGITUDE,OWNER,HELIPAD
8538,ST JOSEPH'S HOSPITAL AND HEALTH CENTER,2500 FAIRWAY STREET,DICKINSON,ND,58601,(701) 456-4000,CRITICAL ACCESS,OPEN,STARK,USA,46.88907589,-102.8205504,NON-PROFIT,Y
8539,ST. LUKE'S REHABILITATION,600 N. ROBBINS ROAD,BOISE,ID,83702,(208) 489-4444,REHABILITATION,OPEN,ADA,USA,43.61558765,-116.1915765,NON-PROFIT,N
8540,ST. LUKE'S MERIDIAN MEDICAL CENTER,520 S. EAGLE ROAD,MERIDIAN,ID,83642,(208) 706-5000,SPECIAL,OPEN,ADA,USA,43.59969652,-116.3526083,NON-PROFIT,N
8541,ST. LUKE'S REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,BOISE,ID,83712,(208) 381-2222,GENERAL ACUTE CARE,OPEN,ADA,USA,43.61256538,-116.1924492,NON-PROFIT,N
8542,VIBRA HOSPITAL OF BOISE,2131 SOUTH BONITO WAY,MERIDIAN,ID,83642,(208) 489-9500,GENERAL ACUTE CARE,OPEN,ADA,USA,43.58594689,-116.3586157,PROPRIETARY,N
8543,CAROLINAS HEALTHCARE SYSTEM UNION,600 HOSPITAL DRIVE,MONROE,NC,28111,(704) 283-3100,GENERAL ACUTE CARE,OPEN,UNION,USA,34.97570679,-80.52284241,GOVERNMENT - DISTRICT/AUTHORITY,Y
8544,WAKEMED NORTH,10000 FALLS OF NEUSE ROAD,RALEIGH,NC,27614,(919) 350-1300,GENERAL ACUTE CARE,OPEN,WAKE,USA,35.90908232,-78.59783739,NON-PROFIT,N
8545,VIBRA HOSPITAL OF FORT WAYNE,"2200 RANDALLIA DRIVE,5TH FLOOR",FORT WAYNE,IN,46805,(260) 399-2900,LONG TERM CARE,OPEN,ALLEN,USA,41.09617146,-85.11021903,PROPRIETARY,N
8546,ALTRU SPECIALTY HOSPITAL,4500 S WASHINGTON ST,GRAND FORKS,ND,58201,(701) 780-1500,GENERAL ACUTE CARE,OPEN,GRAND FORKS,USA,47.87696081,-97.04744399,NON-PROFIT,N
8547,PEMBINA COUNTY MEMORIAL HOSPITAL,301 MOUNTAIN ST E,CAVALIER,ND,58220,(701) 265-8461,CRITICAL ACCESS,OPEN,PEMBINA,USA,48.7925461,-97.61871696,NON-PROFIT,N
8548,SANFORD MEDICAL CENTER FARGO,5225 23RD AVE S,FARGO,ND,58103,(701) 234-6919,GENERAL ACUTE CARE,OPEN,CASS,USA,46.8452189,-96.87577895,NON-PROFIT,Y
8549,LOGANSPORT STATE HOSPITAL,1098 S SR 25,LOGANSPORT,IN,46947,(574) 722-4141,PSYCHIATRIC,OPEN,CASS,USA,40.74169664,-86.40061387,GOVERNMENT - STATE,N
8550,SANFORD TRANSPLANT CENTER,736 BROADWAY,FARGO,ND,58122,(701) 234-2411,GENERAL ACUTE CARE,OPEN,CASS,USA,46.884298,-96.788422,NON-PROFIT,N
8551,COMMUNITY HOSPITAL ONAGA LTCU,206 GRAND AVE,ST MARYS,KS,66536,NOT AVAILABLE,LONG TERM CARE,OPEN,POTTAWATOMIE,USA,39.18859027,-96.06110542,NOT AVAILABLE,N
8552,ALLEN COUNTY REGIONAL HOSPITAL,3066 NORTH KENTUCKY STREET,IOLA,KS,67701,NOT AVAILABLE,CRITICAL ACCESS,OPEN,ALLEN,USA,37.94879933,-95.39173385,GOVERNMENT - LOCAL,Y
8553,ST. LUKE'S WOOD RIVER MEDICAL CENTER,100 HOSPITAL DRIVE,KETCHUM,ID,83340,(208) 727-8800,SPECIAL,OPEN,BLAINE,USA,43.64832025,-114.350021,NON-PROFIT,N
8554,NELL J. REDFIELD MEMORIAL HOSPITAL,150 NORTH 200 WEST,MALAD CITY,ID,83252,(208) 766-2231,GENERAL ACUTE CARE,OPEN,ONEIDA,USA,42.18941981,-112.2503325,NOT AVAILABLE,N
8555,COFFEY COUNTY HOSPITAL LTCU,128 S PEARSON AVE,WAVERLY,KS,66871,NOT AVAILABLE,LONG TERM CARE,OPEN,COFFEY,USA,38.38818202,-95.59962994,GOVERNMENT - LOCAL,N
8556,GRISELL MEMORIAL HOSPITAL LTCU,330 S VERMONT PO BOX 268,RANSOM,KS,67572,NOT AVAILABLE,LONG TERM CARE,OPEN,NESS,USA,38.63600977,-99.93124705,NOT AVAILABLE,N
8557,UNIVERSITY OF TEXAS MEDICAL BRANCH HOSPITAL,301 UNIVERSITY BOULEVARD,GALVESTON,TX,77550,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,GALVESTON,USA,29.31120096,-94.77715943,GOVERNMENT - STATE,Y
8558,LAKE GRANBURY MEDICAL CENTER,1310 PALUXY ROAD,GREENVILLE,TX,76048,(817) 573-2273,GENERAL ACUTE CARE,OPEN,HOOD,USA,32.43248931,-97.8038485,PROPRIETARY,Y
8559,LIMESTONE MEDICAL CENTER,701 MCCLINTIC DR.,HAMLIN,TX,76642,(254) 729-3281,CRITICAL ACCESS,OPEN,LIMESTONE,USA,31.53271119,-96.53121111,GOVERNMENT - DISTRICT/AUTHORITY,N
8560,MARIAN CENTER,451 EAST BISHOP FEDERAL LANE,SALT LAKE CITY,UT,84115,(801) 487-7557,CRITICAL ACCESS,CLOSED,SALT LAKE,USA,40.72827209,-111.8779698,NOT AVAILABLE,N
8561,CENTER FOR CHANGE,1790 NORTH STATE STREET,OREM,UT,84097,(801) 224-8255,PSYCHIATRIC,OPEN,UTAH,USA,40.32993455,-111.7084276,NOT AVAILABLE,N
8562,BLUE MOUNTAIN HOSPITAL,802 SOUTH 200 WEST,BLANDING,UT,84511,(435) 678-3993,CRITICAL ACCESS,OPEN,SAN JUAN,USA,37.61306643,-109.4824861,NOT AVAILABLE,N
8563,LDS HOSPITAL,324 8TH AVENUE,SALT LAKE CITY,UT,84143,(801) 408-1100,GENERAL ACUTE CARE,OPEN,SALT LAKE,USA,40.77822379,-111.8798219,NON-PROFIT,Y
8564,CHEROKEE NATION W. W. HASTINGS HOSPITAL,100 SOUTH BLISS AVENUE,TAHLEQUAH,OK,74464,(918) 458-3100,CRITICAL ACCESS,OPEN,CHEROKEE,USA,35.91183147,-94.9505388,GOVERNMENT - FEDERAL,N
8565,LAWTON HOSPITAL,1515 LAWRIE TATUM ROAD,LAWTON,OK,73507,(580) 354-5000,CRITICAL ACCESS,OPEN,COMANCHE,USA,34.62759832,-98.38424195,GOVERNMENT - FEDERAL,N
8566,HOLLY HILL HOSPITAL,3019 FALSTAFF RD,RALEIGH,NC,27610,(919) 250-7000,PSYCHIATRIC,OPEN,WAKE,USA,35.78277375,-78.58392113,PROPRIETARY,N
8567,KIOWA DISTRICT HOSPITAL,1002 SOUTH 4TH STREET,KIOWA,KS,67070,NOT AVAILABLE,CRITICAL ACCESS,OPEN,BARBER,USA,37.00769961,-98.48857262,NOT AVAILABLE,Y
8568,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DRIVE,JUNEAU,AK,99801,(907) 796-8900,CRITICAL ACCESS,OPEN,JUNEAU,USA,58.32907951,-134.4651526,GOVERNMENT - FEDERAL,Y
8569,MEMORIAL HERMANN SOUTHWEST HOSPITAL,7600 BEECHNUT STREET,HOUSTON,TX,77074,(713) 456-5000,GENERAL ACUTE CARE,OPEN,HARRIS,USA,29.69271807,-95.52115311,NON-PROFIT,Y
8570,MS BAND OF CHOCTAW HOSPITAL,210 HOSPITAL CIRCLE,CHOCTAW,MS,39350,(601) 656-2211,CRITICAL ACCESS,OPEN,NESHOBA,USA,32.7823732,-89.23075186,GOVERNMENT - FEDERAL,N
8571,CHICKASAW NATION MEDICAL CENTER,1921 STONECIPHER BLVD.,ADA,OK,74820,(580) 436-3980,CRITICAL ACCESS,OPEN,PONTOTOC,USA,34.73116768,-96.64541977,GOVERNMENT - FEDERAL,N
8572,ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,ROUTE 301 NORTH “B” STREET,ZUNI,NM,87327,(505) 782-4431,CRITICAL ACCESS,OPEN,MCKINLEY,USA,35.08720767,-108.7911268,GOVERNMENT - FEDERAL,N
8573,CYPRESS FAIRBANKS MEDICAL CENTER,10655 STEEPLETOP DRIVE,HOUSTON,TX,77065,(281) 949-3689,GENERAL ACUTE CARE,OPEN,HARRIS,USA,29.92712973,-95.58969896,PROPRIETARY,Y
8574,CHOCTAW NATION INDIAN HOSPITAL (TALIHINA),ONE CHOCTAW WAY,TALIHINA,OK,74571,(918) 567-7000,CRITICAL ACCESS,OPEN,LATIMER,USA,34.75548842,-95.08413084,GOVERNMENT - FEDERAL,N
8575,CLAREMORE HOSPITAL,101 S MOORE AVENUE (SOUTH MOORE & WILL ROGERS BLVD),CLAREMORE,OK,74017,(918) 342-6200,CRITICAL ACCESS,OPEN,ROGERS,USA,36.31610206,-95.6292859,GOVERNMENT - FEDERAL,N
8576,ROSEBUD HOSPITAL,"BIA ROUTE 1, SOLDER CREEK ROAD",ROSEBUD,SD,57570,(605) 747-2231,CRITICAL ACCESS,OPEN,TODD,USA,43.25674297,-100.8506097,GOVERNMENT - FEDERAL,N
8577,PINE RIDGE HOSPITAL,HWY 18 EAST,PINE RIDGE,SD,57770,(605) 747-2231,CRITICAL ACCESS,OPEN,SHANNON,USA,43.02367851,-102.5412902,GOVERNMENT - FEDERAL,N
8578,WINNEBAGO HOSPITAL,US HIGHWAY 77-75,WINNEBAGO,NE,68071,(402) 878-2231,CRITICAL ACCESS,OPEN,THURSTON,USA,42.2325136,-96.47063294,GOVERNMENT - FEDERAL,N
8579,BLACKFEET COMMUNITY HOSPITAL,760 HOSPITAL CIRCLE,BROWNING,MT,59417,(406) 338-6230,CRITICAL ACCESS,OPEN,GLACIER,USA,48.5656912,-113.0197302,GOVERNMENT - FEDERAL,N
8580,IRWIN ARMY COMMUNITY HOSPITAL,600 CAISSON HILL RD,FORT RILEY,KS,66442,NOT AVAILABLE,MILITARY,OPEN,GEARY,USA,39.07919232,-96.77244571,GOVERNMENT - FEDERAL,Y
8581,NAVAL HOSPITAL BEAUFORT,1 PINCKNEY BLVD,BEAUFORT,SC,29902,NOT AVAILABLE,MILITARY,OPEN,BEAUFORT,USA,32.3894647,-80.68227993,GOVERNMENT - FEDERAL,N
8582,BASSETT ARMY COMMUNITY HOSPITAL,4076 NEELY RD,FORT WAINWRIGHT,AK,99703,(907) 361-5172,MILITARY,OPEN,FAIRBANKS NORTH STAR,USA,64.82970024,-147.6622292,GOVERNMENT - FEDERAL,Y
8583,NAVAL MEDICAL CENTER PORTSMOUTH,620 JOHN PAUL JONES CIRCLE,PORTSMOUTH,VA,23708,NOT AVAILABLE,MILITARY,OPEN,PORTSMOUTH,USA,36.84541393,-76.30576791,GOVERNMENT - FEDERAL,Y
8584,99TH MEDICAL GROUP - MIKE O'CALLAGHAN FEDERAL MEDICAL CENTER,4700 LAS VEGAS BLVD N,NELLIS AFB,NV,89191,NOT AVAILABLE,MILITARY,OPEN,CLARK,USA,36.24602701,-115.0492819,GOVERNMENT - FEDERAL,N
8585,NAVAL HOSPITAL PENSACOLA,6000 WEST HIGHWAY 98,PENSACOLA,FL,32512,(850) 505-6601,MILITARY,OPEN,ESCAMBIA,USA,30.39856995,-87.29861569,GOVERNMENT - FEDERAL,Y
8586,88TH MEDICAL GROUP - WRIGHT-PATTERSON AIR FORCE BASE MEDICAL CENTER,4881 SUGAR MAPLE DR,WRIGHT PATTERSON AFB,OH,45433,NOT AVAILABLE,MILITARY,OPEN,GREENE,USA,39.80534785,-84.03740713,GOVERNMENT - FEDERAL,N
8587,REYNOLDS ARMY COMMUNITY HOSPITAL,4301 WILSON ST,FORT SILL,OK,73503,NOT AVAILABLE,MILITARY,OPEN,COMANCHE,USA,34.6523867,-98.41460698,GOVERNMENT - FEDERAL,Y
8588,FORT BELVOIR COMMUNITY HOSPITAL,9300 DEWITT LOOP,FORT BELVOIR,VA,22060,NOT AVAILABLE,MILITARY,OPEN,FAIRFAX,USA,38.70560252,-77.14368028,GOVERNMENT - FEDERAL,Y
8589,MONCRIEF ARMY COMMUNITY HOSPITAL,4500 STUART ST,FORT JACKSON,SC,29206,NOT AVAILABLE,MILITARY,OPEN,RICHLAND,USA,34.01192613,-80.93778994,GOVERNMENT - FEDERAL,N
8590,FORT LEONARD WOOD ARMY COMMUNITY HOSPITAL,126 MISSOURI AVE,FORT LEONARD WOOD,MO,65473,(573) 596-0035,MILITARY,OPEN,PULASKI,USA,37.76616456,-92.11483258,GOVERNMENT - FEDERAL,Y
8591,STRATEGIC BEHAVIORAL CENTER GARNER,3200 WATERFIELD ROAD,GARNER,NC,27529,(919) 800-4400,PSYCHIATRIC,OPEN,WAKE,USA,35.67803419,-78.56140828,PROPRIETARY,N
8592,KINDRED HOSPITAL - TARRANT COUNTY,1000 NORTH COOPER STREET,ARLINGTON,TX,76011,(817) 548-3400,LONG TERM CARE,OPEN,TARRANT,USA,32.75055987,-97.11406781,PROPRIETARY,N
8593,ALASKA VA HEALTHCARE SYSTEM,1201 N MULDOON RD,ANCHORAGE,AK,99504,(907) 257-4700,MILITARY,OPEN,ANCHORAGE,USA,61.23278802,-149.7445305,GOVERNMENT - FEDERAL,Y
8594,VA MEDICAL CENTER - NEWINGTON CAMPUS,555 WILLARD AVE,NEWINGTON,CT,6111,NOT AVAILABLE,MILITARY,OPEN,HARTFORD,USA,41.70168559,-72.74061649,GOVERNMENT - FEDERAL,N
8595,JAMES A. HALEY VETERANS' HOSPITAL PRIMARY CARE ANNEX,13515 LAKE TERRACE LANE,TAMPA,FL,33637,(813) 998-8000,MILITARY,OPEN,HILLSBOROUGH,USA,28.07039609,-82.35733765,GOVERNMENT - FEDERAL,N
8596,VA MEDICAL CENTER - FORT WAYNE CAMPUS,2121 LAKE AVE,FORT WAYNE,IN,46805,(260) 426-5431,MILITARY,OPEN,ALLEN,USA,41.09078646,-85.10951788,GOVERNMENT - FEDERAL,N
8597,ROBERT J. DOLE VA MEDICAL CENTER,5500 E KELLOGG AVE,WICHITA,KS,67218,(316) 685-2221,MILITARY,OPEN,SEDGWICK,USA,37.6812338,-97.27464126,GOVERNMENT - FEDERAL,N
8599,RICHARD L. ROUDEBUSH VA MEDICAL CENTER,1481 W 10TH ST,INDIANAPOLIS,IN,46202,NOT AVAILABLE,MILITARY,OPEN,MARION,USA,39.77846306,-86.18716442,GOVERNMENT - FEDERAL,Y
8600,"VA MEDICAL CENTER - MARION, IN",1700 E 38TH ST,MARION,IN,46953,(765) 674-3321,MILITARY,OPEN,GRANT,USA,40.5204615,-85.63826841,GOVERNMENT - FEDERAL,N
8601,VA MEDICAL CENTER - BROCKTON DIVISION,940 BELMONT ST,BROCKTON,MA,2401,NOT AVAILABLE,MILITARY,OPEN,PLYMOUTH,USA,42.06302243,-71.05393559,GOVERNMENT - FEDERAL,N
8602,VA CENTRAL WESTERN MASSACHUSETTS HEALTHCARE SYSTEM,421 N MAIN ST,NORTHAMPTON,MA,1062,NOT AVAILABLE,MILITARY,OPEN,HAMPSHIRE,USA,42.34953083,-72.68244039,GOVERNMENT - FEDERAL,N
8603,VA MEDICAL CENTER - WEST ROXBURY DIVISION,1400 VFW PKY,WEST ROXBURY,MA,2132,NOT AVAILABLE,MILITARY,OPEN,SUFFOLK,USA,42.2746273,-71.17169802,GOVERNMENT - FEDERAL,N
8604,CAPTAIN JAMES A. LOVELL FEDERAL HEALTH CARE CENTER,3001 GREEN BAY RD,NORTH CHICAGO,IL,60064,(847) 688-1900,MILITARY,OPEN,LAKE,USA,42.30704823,-87.86051071,GOVERNMENT - FEDERAL,Y
8605,UNC HOSPITALS AT WAKEBROOK,111 SUNNYBROOK ROAD,RALEIGH,NC,27610,NOT AVAILABLE,PSYCHIATRIC,OPEN,WAKE,USA,35.78289748,-78.58179865,GOVERNMENT - STATE,N
8606,COLMERY-O'NEIL VA MEDICAL CENTER,2200 SW GAGE BLVD,TOPEKA,KS,66622,(785) 350-3111,MILITARY,OPEN,SHAWNEE,USA,39.02623218,-95.72279545,GOVERNMENT - FEDERAL,Y
8607,DWIGHT D. EISENHOWER VA MEDICAL CENTER,4101 4TH ST TRAFFICWAY,LEAVENWORTH,KS,66048,(913) 682-2000,MILITARY,OPEN,LEAVENWORTH,USA,39.27939624,-94.89383569,GOVERNMENT - FEDERAL,N
8608,SAINT JOSEPHS HOSPITAL AND MEDICAL CENTER,703 MAIN STREET,PATERSON,NJ,7503,(973) 754-2010,GENERAL ACUTE CARE,OPEN,PASSAIC,USA,40.90283445,-74.16570442,NON-PROFIT,Y
8609,KINDRED HOSPITAL HOUSTON MEDICAL CENTER,6441 MAIN STREET,HOUSTON,TX,77030,(713) 790-0500,LONG TERM CARE,OPEN,HARRIS,USA,29.71285043,-95.39917023,PROPRIETARY,Y
8610,LAMB HEALTHCARE CENTER,1500 SOUTH SUNSET AVENUE,LITTLEFIELD,TX,79339,(806) 385-6411,GENERAL ACUTE CARE,OPEN,LAMB,USA,33.91170687,-102.3442949,GOVERNMENT - LOCAL,Y
8611,BAYSHORE MEDICAL CENTER,727 NORTH BEERS STREET,HOLMDEL,NJ,7733,(732) 739-5900,GENERAL ACUTE CARE,OPEN,MONMOUTH,USA,40.40516141,-74.19168432,NON-PROFIT,Y
8612,VA MEDICAL CENTER - KANSAS CITY,4801 LINWOOD BLVD,KANSAS CITY,MO,64128,(816) 861-4700,MILITARY,OPEN,JACKSON,USA,39.0640641,-94.5264144,GOVERNMENT - FEDERAL,Y
8613,VA MEDICAL CENTER - MANCHESTER,718 SMYTH RD,MANCHESTER,NH,3104,NOT AVAILABLE,MILITARY,OPEN,HILLSBOROUGH,USA,43.01235803,-71.44086704,GOVERNMENT - FEDERAL,N
8614,RAYMOND G. MURPHY VA MEDICAL CENTER,1501 SAN PEDRO SE,ALBUQUERQUE,NM,87108,NOT AVAILABLE,MILITARY,OPEN,BERNALILLO,USA,35.05516799,-106.5817674,GOVERNMENT - FEDERAL,N
8615,VA MEDICAL CENTER - LYONS CAMPUS,151 KNOLLCROFT RD,LYONS,NJ,7939,(908) 647-0180,MILITARY,OPEN,SOMERSET,USA,40.66859853,-74.5575506,GOVERNMENT - FEDERAL,N
8616,VA MEDICAL CENTER - OMAHA,4101 WOOLWORTH AVE,OMAHA,NE,68105,(800) 451-5796,MILITARY,OPEN,DOUGLAS,USA,41.24253129,-95.9743765,GOVERNMENT - FEDERAL,N
8617,HUDSON REGIONAL HOSPITAL,55 MEADOWLANDS PARKWAY,SECAUCUS,NJ,7094,(201) 392-3100,GENERAL ACUTE CARE,OPEN,HUDSON,USA,40.79183031,-74.07323651,PROPRIETARY,Y
8618,ALEDA E. LUTZ VA MEDICAL CENTER,1500 WEISS ST,SAGINAW,MI,48602,(989) 497-2500,MILITARY,OPEN,SAGINAW,USA,43.44479571,-83.96202358,GOVERNMENT - FEDERAL,N
